Franchise_ID,Title_ID
55,3
30,10
53,11
27,15
37,16
70,17
49,23
18,24
92,27
14,28
20,31
6,36
88,40
6,41
60,44
20,46
92,48
86,51
29,55
39,56
76,59
80,60
13,62
72,63
1,64
83,65
68,68
98,69
46,70
90,71
52,74
94,78
33,81
62,89
63,90
8,93
19,94
33,95
35,96
27,97
88,99
16,101
1,104
73,109
87,110
25,119
41,122
31,127
89,128
82,130
24,133
74,134
6,137
34,139
1,140
59,141
88,142
24,145
5,146
5,150
55,155
46,156
11,161
41,162
65,164
79,167
35,169
62,175
43,177
46,180
37,181
1,182
4,183
47,184
10,186
43,189
66,191
8,192
17,194
28,195
95,196
16,197
1,198
83,200
34,202
37,205
16,206
52,207
24,208
55,209
82,210
62,211
12,213
54,215
27,218
42,221
71,222
62,225
49,227
35,230
7,231
15,234
55,237
81,241
42,242
93,244
96,245
75,246
93,248
6,250
35,251
34,253
94,254
24,256
80,260
83,264
88,267
95,269
57,270
57,271
95,273
99,274
100,275
99,277
2,280
9,284
1,285
67,289
95,291
19,292
59,294
96,303
89,304
45,306
37,307
19,308
84,311
2,313
57,317
49,319
28,321
12,323
37,328
74,331
61,333
58,334
32,337
67,338
47,339
43,342
46,346
92,349
87,352
47,357
80,359
94,363
7,364
52,365
9,367
73,368
8,370
7,375
37,376
65,377
70,378
11,381
73,384
38,386
58,390
7,392
63,393
98,396
24,397
80,400
94,401
12,404
10,406
68,411
80,422
99,423
55,424
77,425
45,426
21,429
72,431
61,432
5,437
9,438
80,440
16,443
83,449
31,450
17,453
19,455
23,456
5,463
94,465
72,469
54,471
39,472
72,476
18,477
66,480
72,483
59,486
15,487
2,489
45,490
12,491
76,493
81,494
73,498
61,499
1,502
100,508
42,513
30,514
10,522
65,525
53,529
48,530
20,531
54,532
67,533
27,534
72,542
11,543
80,547
39,555
95,558
40,559
23,562
82,563
97,565
46,570
68,572
94,573
96,575
91,576
12,579
84,581
95,582
39,585
1,587
8,595
39,596
100,597
49,603
44,604
62,607
11,609
26,611
68,620
6,623
96,624
63,626
2,631
35,635
81,636
95,638
4,639
27,645
35,647
60,648
61,650
8,654
10,656
41,658
89,659
50,661
88,666
23,667
10,670
65,672
1,674
18,676
13,677
50,681
76,684
86,689
18,690
3,691
59,693
72,694
63,695
46,696
32,701
57,702
93,704
82,706
25,708
10,712
34,714
20,718
60,719
65,721
11,723
2,732
39,734
6,736
15,739
73,746
67,748
69,750
12,755
40,758
57,762
44,764
77,767
12,768
45,770
79,773
94,775
9,782
1,783
29,784
82,787
4,792
34,796
81,797
40,798
50,799
85,800
62,801
39,803
44,807
47,808
4,811
14,812
12,813
74,817
63,818
59,819
69,823
31,824
21,825
89,827
91,831
75,832
79,835
60,837
39,839
20,840
6,841
20,842
58,844
10,848
90,851
21,853
84,856
1,857
16,860
58,861
27,862
36,865
1,867
81,870
60,871
98,874
40,880
8,881
23,882
77,883
23,884
18,886
18,892
71,893
19,895
22,899
62,900
78,901
29,902
86,904
86,907
32,910
25,911
49,912
12,915
98,918
3,920
42,921
49,924
61,925
86,928
52,930
94,932
29,933
56,936
27,939
63,944
60,946
82,948
57,952
91,954
80,956
76,957
57,959
87,969
31,971
78,973
53,979
82,980
8,985
24,986
29,988
39,990
2,991
91,995
23,996
7,997
20,999
92,1000
2,1003
56,1007
15,1014
6,1016
98,1017
36,1020
3,1026
37,1028
12,1030
44,1031
25,1033
81,1035
76,1036
26,1038
47,1043
96,1045
67,1049
16,1055
7,1057
9,1059
63,1068
81,1069
31,1071
15,1073
88,1076
20,1077
42,1087
45,1089
45,1090
4,1096
65,1098
8,1101
76,1103
8,1106
32,1108
47,1111
86,1114
92,1118
100,1119
6,1120
13,1121
29,1123
8,1124
2,1126
61,1127
91,1128
5,1129
91,1132
8,1133
35,1138
90,1145
84,1146
78,1148
26,1151
77,1153
35,1159
17,1160
15,1161
23,1162
33,1165
46,1166
75,1168
58,1169
83,1174
81,1182
87,1183
17,1191
10,1199
39,1201
98,1203
43,1204
86,1205
39,1208
56,1209
18,1212
67,1214
35,1216
65,1218
85,1222
83,1223
70,1225
31,1226
90,1227
83,1228
13,1238
35,1239
83,1240
89,1242
56,1243
53,1245
78,1246
27,1247
33,1248
98,1249
77,1260
96,1266
65,1271
11,1272
90,1273
41,1276
57,1277
56,1281
77,1286
41,1289
22,1293
41,1298
34,1299
50,1300
27,1306
57,1311
23,1315
80,1320
69,1323
72,1324
65,1331
57,1333
62,1334
87,1336
88,1344
43,1349
93,1351
43,1352
14,1353
69,1354
14,1357
21,1360
47,1361
80,1364
24,1368
24,1369
71,1370
15,1371
63,1372
97,1373
4,1375
11,1377
73,1378
51,1382
96,1383
3,1385
85,1386
71,1392
14,1394
92,1397
42,1398
42,1399
20,1406
74,1408
33,1412
4,1419
18,1420
81,1422
64,1423
21,1426
21,1429
2,1430
35,1431
6,1433
93,1434
28,1435
68,1436
5,1440
71,1441
22,1442
93,1444
95,1445
51,1448
16,1449
71,1450
51,1451
82,1453
27,1455
2,1458
11,1461
97,1462
87,1463
21,1465
2,1466
20,1469
15,1472
64,1473
44,1475
26,1482
3,1486
82,1490
82,1493
81,1494
95,1496
35,1499
65,1504
16,1509
77,1511
56,1514
82,1515
19,1516
55,1525
63,1526
90,1529
9,1532
8,1535
89,1537
100,1538
58,1547
20,1549
37,1552
86,1555
21,1557
83,1558
7,1561
50,1563
61,1570
50,1580
13,1581
79,1584
80,1591
44,1595
91,1596
52,1597
92,1600
30,1601
14,1602
34,1604
45,1605
79,1606
97,1608
14,1611
92,1612
83,1613
71,1619
45,1620
18,1624
13,1625
45,1633
38,1634
74,1637
34,1638
36,1642
66,1643
50,1647
61,1652
43,1656
10,1657
26,1660
28,1661
94,1667
29,1669
68,1671
29,1672
18,1674
48,1675
98,1677
57,1680
95,1681
29,1683
21,1684
56,1687
43,1688
81,1690
59,1693
32,1696
60,1699
